gesture_id,Ax,Ay,Az
6,1.956,-0.18,9.957
6,2.03,-0.136,9.938
6,0.584,-0.196,10.099
6,1.793,-0.182,9.946
6,2.581,-0.28,9.881
6,0.697,0.019,10.132
6,2.32,-0.369,9.867
6,2.679,-0.057,9.9
6,2.181,0.081,9.924
6,2.38,-0.036,9.883
6,3.347,-0.184,9.79
6,3.067,-0.113,9.859
6,2.133,0.108,9.922
6,1.511,0.038,9.974
6,1.346,-0.101,9.998
6,1.319,-0.108,9.979
6,1.341,-0.062,9.984
6,1.334,-0.079,9.965
6,1.307,-0.098,9.965
6,1.343,-0.074,10.005
6,1.336,-0.081,10.005
6,1.326,-0.093,9.977
6,1.326,-0.077,9.962
6,1.317,-0.067,10.008
6,1.322,-0.079,10.017
6,1.3,-0.093,10.003
6,1.326,-0.079,9.998
6,1.671,8.083,10.118
6,1.173,1.774,10.013
6,1.393,1.219,9.979
6,1.228,0.843,9.965
6,1.583,1.025,9.922
6,1.532,0.941,9.955
6,1.288,1.041,10.001
6,1.511,1.061,9.946
6,1.46,0.84,9.969
6,1.298,0.96,10.041
6,1.403,0.922,9.938
6,1.312,0.299,9.993
6,1.437,0.225,9.991
6,1.501,0.117,9.979
6,1.13,0.189,10.015
6,1.343,0.079,10.044
6,1.477,0.014,9.898
6,1.508,-0.148,10.041
6,1.7,-0.371,9.917
6,1.453,-0.306,10.015
6,1.413,-0.18,9.996
6,1.305,-0.024,10.02
6,1.267,-0.263,10.017
6,1.331,-0.503,10.005
6,1.302,-0.316,10.008
6,1.42,-0.357,9.938
6,1.192,-0.474,9.986
6,1.358,-0.85,10.02
6,1.264,-1.221,9.996
6,1.111,-1.901,9.989
6,1.144,-2.109,10.025
6,1.267,-2.03,9.993
6,1.374,-1.923,10.008
6,1.346,-1.626,9.972
6,1.274,-1.46,10.02
6,1.312,-0.249,9.996
6,1.334,-0.091,9.974
6,1.35,-0.072,9.957
6,1.314,-0.115,9.986
6,1.324,-0.079,9.967
6,1.322,-0.074,9.998
6,1.338,-0.081,9.981
6,1.35,-0.077,10.032
6,1.769,-0.005,9.912
6,1.911,0.036,9.948
6,1.877,-0.326,9.957
6,2.641,-0.283,9.917
6,2.047,-0.275,9.917
6,2.327,-0.302,9.934
6,2.665,-0.469,9.874
6,2.284,-0.139,9.924
6,2.03,-0.12,9.905
6,2.346,-0.132,9.912
6,2.523,-0.206,9.888
6,2.028,-0.17,9.912
6,1.803,-0.259,9.929
6,1.609,-0.134,10.001
6,1.836,-0.034,9.977
6,1.405,-0.072,9.943
6,1.36,-0.249,9.991
6,1.417,-0.103,10.051
6,1.252,0.16,9.957
6,1.255,0.034,10.048
6,1.171,0.038,10.025
6,1.31,-0.045,9.986
6,0.955,-0.024,10.022
6,1.231,-0.113,10.048
6,1.046,-0.101,10.034
6,0.876,0.038,10.013
6,1.281,0.093,10.046
6,0.915,-0.084,9.991
6,0.895,-0.074,10.027
6,0.936,-0.036,10.039
6,0.809,-0.007,10.06
6,0.493,-0.057,10.034
6,0.395,-0.057,10.051
6,0.35,-0.057,10.068
6,0.101,-0.105,10.135
6,0.249,-0.151,10.063
6,0.362,-0.084,10.072
6,-0.151,0.012,10.089
6,0.034,-0.115,10.104
6,0.761,-0.069,10.044
6,1.142,-0.101,9.998
6,1.307,-0.079,10.015
6,1.298,-0.101,9.989
6,1.319,-0.101,9.993
6,1.314,-0.057,9.989
6,5.001,-5.49,9.529
6,1.041,-1.156,9.977
6,1.305,-1.286,9.991
6,1.123,-1.551,9.989
6,1.453,-1.946,10.003
6,1.348,-1.604,9.977
6,0.955,-1.65,10.015
6,0.766,-1.566,10.051
6,1.326,-1.073,10.039
6,1.468,-0.649,10.01
6,1.511,-0.558,9.962
6,1.348,-0.409,10.017
6,0.97,-0.429,9.986
6,1.03,-0.543,10.058
6,1.334,-0.225,9.984
6,1.032,-0.362,10.015
6,1.46,-0.244,9.814
6,1.561,0.352,9.886
6,1.341,0.517,9.996
6,1.01,0.347,9.981
6,1.077,0.206,9.95
6,1.171,-0.187,10.029
6,1.168,-0.33,9.953
6,1.346,0.081,9.986
6,1.738,0.627,9.967
6,1.211,1.386,9.991
6,1.403,0.955,9.938
6,1.31,0.917,9.991
6,1.389,1.259,10.001
6,1.417,1.329,9.981
6,1.568,1.125,9.979
6,1.523,1.551,9.943
6,1.307,1.36,9.974
6,1.381,1.267,10.022
6,1.372,1.092,10.041
6,1.336,0.065,9.977
6,1.307,-0.103,10.001
6,1.31,-0.129,10.029
6,1.298,-0.06,9.993
6,1.295,-0.11,10.029
6,1.312,-0.098,10.005
6,1.293,-0.06,9.991
8,1.192,-0.043,10.041
8,1.166,-0.029,10.025
8,1.257,-0.036,9.979
8,1.24,-0.069,9.969
8,1.211,-0.057,10.02
8,1.264,-0.06,9.979
8,1.245,-0.045,9.989
8,1.252,-0.086,10.013
8,1.259,-0.05,10.01
8,1.24,-0.062,10.022
8,1.262,-0.062,9.972
8,1.269,-0.065,9.993
8,1.245,-0.081,9.991
8,1.238,-0.06,9.998
8,1.238,-0.053,9.991
8,1.24,-0.053,10.008
